asin,price,recorded_at,scraped_at,old_price
B0CZ3JN257,89.98,2025-02-03 13:16:59.191008,2025-02-03 13:16:59.191008,89.98
B0CZP9G36Z,784.0,2025-02-02 19:48:02.299974,2025-02-02 19:48:02.299974,784.0
B0CZPD2L6L,599.0,2025-02-02 19:48:02.032793,2025-02-02 19:48:02.032793,599.0
B0CZTGBYSX,145.9,2025-02-02 19:48:00.002453,2025-02-02 19:48:00.002453,145.9
B0CZWPDP34,269.0,2025-02-02 19:48:00.358374,2025-02-02 19:48:00.358374,269.0
B0CZWPG28G,138.0,2025-02-02 19:47:59.131358,2025-02-02 19:47:59.131358,138.0
B0CZXPBW82,279.0,2025-02-02 19:48:00.138525,2025-02-02 19:48:00.138525,279.0
B0D17WQ8WX,899.0,2025-02-02 19:48:01.950446,2025-02-02 19:48:01.950446,899.0
B0D18F23QW,2459.0,2025-02-02 19:47:19.019655,2025-02-02 19:47:19.019655,2459.0
B0D18F23QW,2459.0,2025-02-02 19:47:22.443340,2025-02-02 19:47:22.443340,2459.0
B0D18F23QW,2459.0,2025-02-02 21:14:11.063393,2025-02-02 21:14:11.063393,2459.0
B0D18F23QW,2459.0,2025-02-02 21:14:14.396000,2025-02-02 21:14:14.396000,2459.0
B0D1G2236X,85.0,2025-02-02 19:43:25.781366,2025-02-02 19:43:25.781366,85.0
B0D1G2236X,85.0,2025-02-02 19:43:32.921863,2025-02-02 19:43:32.921863,85.0
B0D1G2236X,85.0,2025-02-02 19:46:32.680034,2025-02-02 19:46:32.680034,85.0
B0D1G2236X,85.0,2025-02-02 19:46:36.893123,2025-02-02 19:46:36.893123,85.0
B0D2DRXCJG,399.0,2025-02-02 19:48:00.048365,2025-02-02 19:48:00.048365,399.0
B0D2DV1M8Z,479.0,2025-02-02 19:48:00.962366,2025-02-02 19:48:00.962366,479.0
B0D2KNZKHK,189.9,2025-02-02 19:43:25.867817,2025-02-02 19:43:25.867817,189.9
B0D2KNZKHK,189.9,2025-02-02 19:43:33.018575,2025-02-02 19:43:33.018575,189.9
B0D2KNZKHK,189.9,2025-02-02 19:46:32.727171,2025-02-02 19:46:32.727171,189.9
B0D2KNZKHK,189.9,2025-02-02 19:46:36.938673,2025-02-02 19:46:36.938673,189.9
B0D2RQBHF5,49.99,2025-02-03 13:16:18.550586,2025-02-03 13:16:18.550586,49.99
B0D2W5M1KB,150.0,2025-02-02 19:43:27.083851,2025-02-02 19:43:27.083851,150.0
B0D2W5M1KB,150.0,2025-02-02 19:43:34.680559,2025-02-02 19:43:34.680559,150.0
B0D2W5M1KB,150.0,2025-02-02 19:46:33.392276,2025-02-02 19:46:33.392276,150.0
